Código Arquetipo,Nombre Arquetipo,Procesos Potenciales As Is
ARQ001,Realizar Estudio de Crédito,"T160398,T160401,T160402,T160440,T160441,T160442,T160443,T160499,T160558,T160612"
ARQ002,Abrir producto,"T160177,T160203,T160178,T160029,T160176,T160493,T160138,T160140,T160141,T160161,T160159,T1601110,T160522,T160676,T160022,T160036,T160584,T160224,T160210,T160065,T160613,T160423,T160219,T160220,T160556,PAN040101,PAN040103,T160652,T160669,PAN040107,T1603101,PAN040102,T160522,T160621,T160088,T160099,T160675,T160222"
ARQ003,Cobrar condiciones financieras del producto,"T160495,T160490,T160157"
ARQ005,Aplicar novedad,"T160485,T160486,T160487,T160159,T160158,T160383,PAN040403,PAN040305,T160596,T160057,T160617,T160560,T160526,T160520,T160655,T160653,T160622,T160528,T160447,T160409,T160393,T160109,T160108,T160105,T160101,T160100,T160099,T1603110,T160158,T160042,T160659,T160473,T160021,T160199,T160179,T160031,T160505,T160426,T160506,T160200,T160421,T160420,T160418,T160241,T160417,T160666,T160240,PAN040314,PAN040302,T160087,T160101,T160100,T160099,T1603110,T160067,T160625,T1603104,T160434,T160026,T160180,T160598,T160492"
ARQ008,Procesar compensación,"T160526,T160524,T160458,T160662,T160061,PAN040209,T160215,T160015,T160095"
ARQ009,Autorizar tokenización,T160673
ARQ013,Ejecutar transacción monetaria,"T160646,T160614,T160600,T160457,T160456,T160431,T160412,T160411,T160208,T160086,T160227,T160155,T160202,T160045,T160032,T160076,VAL080303,T160212,T160489,PAN040503,T160658,T160494,T160513,T160524,T160590,T160543,T160512,T160478,T160015,T160215,T160209,T160365,T160288,T140109,PAN040207,PAN040206,PAN040201,T1603102,PTO160301,T160658,T160513,T160482,T160631,T160574,T160543,T160523,T160656,T160654,T160621,T160592,T160392,T160390,T160094,T160093,T160090,T160107,T160101,T160100,T160157,T160434,T160430,T080517,T160416,T160247,T160234,T160530,T080517"
ARQ014,Clasificar alertas de cumplimiento ,"T120303, T050203, T120304, T090203"
ARQ015,Monitorear cumplimiento Normativo.,No existen procesos AS-IS actualmente
ARQ016,Monitorear cumplimiento interno,No existen procesos AS-IS actualmente
ARQ017,Atender solicitudes administrativas de Cumplimiento,No existen procesos AS-IS actualmente
ARQ018,Administrar datos maestros de cumplimiento,No existen procesos AS-IS actualmente
ARQ022,Generar información,"T160616,T160609,T160521,T160483,T160415,T160028,T160027,T080142,T160491,T160657,T160092,T160134,T160100,T160667"
ARQ027,Atender solicitudes de usuario,"T160468,T160180,T160026,T160179,T160199,T160021,T051903,T080510,T020601,T160447,T050302,T160627,T160231,T050301,T050303,CMP55,CMP58,PAN040302,PAN040303,PAN040305,PAN090102,FID050505,PAN050305,CMP75"
ARQ036,Realizar monitoreo contable,"T160611,FID070201,T080223,T080207,T080210,T080215,T080222,T080219,T080211,FID070202,T080209,T090322"
ARQ039,Ejecutar el desembolso,"T160148,T160147,T160218,T160149,T160390,T160407,T160146,T160150,T160154,T160654"
ARQ047,Conciliar información contable,"T080109,T080159,PAN040702,PAN070115,T080901,T080163,T160670,T080111"
ARQ056,Administrar el servicio de los canales,"T160278,T160569,T160265,T160269,T070202,T070203,T050407"
ARQ093,Constituir colaterales,"T160107, T160405, T160358, T160115, T160112. PAN40308"
ARQ093,Estudiar y constituir garantía,"T160112,T160405,T160115"
ARQ114,Vincular clientes,"T051005,PAN050802,T051921"
ARQ120,Asegurar disponibilidad de productos financieros fisicos,"T160493,T160159,T160138,T160161,T160036,T160022,PAN040205,T160520,T160141"
ARQ122,Fondear transacción monetaria,Por definir
ARQ123,Ejecutar cuadre contable del producto,"T160615,T160050,T160066,T160458,T080516,T080513,T160555,T160159,T160061,T080505,T080902,T080159,T080901,T080163,T160670,T160484,T080142,T160615,T160647,T160087,T080159,T1603110,T160661,T1601111,T081001"
ARQ125,Estructurar producto,Por definir
ARQ126,Crear y evolucionar modelo de pricing,Por definir
ARQ129,Contactar usuario,Por definir
ARQ130,Admitir productos de inversión externos,Por definir
ARQ131,Coordinar gestión de productos de inversión,Por definir
ARQ139,Investigar alertas de cumplimiento,Por definir
